lon,lat,pop
4.87232,45.67864,20
4.89280,45.67963,4
4.89535,45.67975,12
4.89791,45.67987,4
4.91327,45.68061,1
4.91583,45.68073,4
4.92350,45.68110,1
4.92606,45.68123,8
4.93630,45.68172,24
4.93886,45.68184,52
4.94142,45.68196,201
4.94397,45.68208,53
4.94653,45.68220,25
4.94909,45.68233,58
4.95165,45.68245,42.5
4.95421,45.68257,53
4.95677,45.68269,36
4.98236,45.68391,9
4.98492,45.68403,54.5
4.98748,45.68415,5
4.78004,45.67593,20
4.78260,45.67606,80
4.78516,45.67618,94
4.78772,45.67631,72.5
4.79028,45.67644,29.5
4.79284,45.67656,5
4.80819,45.67732,4
4.81075,45.67744,8
4.81331,45.67757,77
4.81586,45.67769,53
4.81842,45.67782,81.5
4.82098,45.67794,103
4.82354,45.67807,83
4.82610,45.67819,31
4.82866,45.67832,5
4.83122,45.67844,32
4.85680,45.67969,47
4.85936,45.67981,106
4.86192,45.67994,76
4.86448,45.68006,164
4.86704,45.68019,157.5
4.86960,45.68031,69
4.87216,45.68043,4
4.89519,45.68155,7
4.92078,45.68278,1
4.92589,45.68302,22
4.92845,45.68315,20.5
4.93101,45.68327,7
4.93357,45.68339,44
4.93613,45.68351,1
4.94125,45.68376,6
4.94893,45.68412,109
4.95149,45.68425,68
4.95404,45.68437,22
4.95660,45.68449,36
4.96428,45.68486,1
4.96684,45.68498,21
4.96940,45.68510,22
4.97196,45.68522,35
4.97452,45.68534,22
4.97708,45.68546,57
4.97964,45.68559,60
4.98220,45.68571,64
4.98476,45.68583,100.5
4.98731,45.68595,3
4.77987,45.67773,84
4.78243,45.67785,169
4.78499,45.67798,109.5
4.78755,45.67811,100.5
4.79267,45.67836,5
4.79522,45.67848,7
4.79778,45.67861,7
4.80034,45.67874,5
4.80546,45.67899,3
4.81058,45.67924,33
4.81313,45.67936,8
4.81569,45.67949,40
4.81825,45.67961,83
4.82081,45.67974,86
4.82337,45.67986,251
4.82593,45.67999,52.5
4.82849,45.68011,19
4.83105,45.68024,30.5
4.85408,45.68136,11.5
4.85663,45.68149,23
4.85919,45.68161,53
4.86175,45.68173,119
4.86431,45.68186,94
4.86687,45.68198,121
4.86943,45.68211,13
4.89502,45.68334,6
4.89758,45.68347,1.5
4.90525,45.68384,3
4.90781,45.68396,2
4.92829,45.68494,15
4.93085,45.68507,89
4.93340,45.68519,154
4.94108,45.68555,333
4.94364,45.68568,219.5
4.94620,45.68580,75
4.94876,45.68592,66
4.95644,45.68629,2
4.96923,45.68690,2
4.97435,45.68714,2
4.97691,45.68726,43.5
4.97947,45.68738,89.5
4.98203,45.68750,87
4.98459,45.68762,111
4.98715,45.68775,15
4.77970,45.67953,71
4.78226,45.67965,135
4.78482,45.67978,526
4.78738,45.67990,609
4.78994,45.68003,62
4.80017,45.68053,4
4.80273,45.68066,12
4.81296,45.68116,4
4.81552,45.68129,57
4.81808,45.68141,36
