lon,lat,jobs
4.76732,45.59406,84.1
4.76715,45.59585,44.2
4.76681,45.59945,881.4
4.76646,45.60304,15.2
4.75370,45.73601,39.0
4.75301,45.74320,4.3
4.75284,45.74500,1.6
4.75267,45.74679,171.7
4.75232,45.75039,11.6
4.75197,45.75398,5.2
4.75180,45.75578,3.9
4.75163,45.75757,1.9
4.75145,45.75937,1.9
4.75059,45.76835,193.2
4.75024,45.77195,1.9
4.74990,45.77554,429.7
4.74972,45.77734,122.2
4.74955,45.77914,3.4
4.74938,45.78093,49.9
4.74920,45.78273,1.3
4.74903,45.78453,9.0
4.74868,45.78812,4.7
4.74799,45.79531,2.6
4.74677,45.80788,2.6
4.74643,45.81148,1.3
4.74625,45.81327,1.3
4.74608,45.81507,30.0
4.74591,45.81687,1.3
4.74538,45.82226,2.6
4.74417,45.83483,12.6
4.74399,45.83663,9.6
4.74347,45.84202,1.8
4.74312,45.84561,19.3
4.74295,45.84741,6.4
4.74139,45.86358,17.6
4.74121,45.86538,97.8
4.74086,45.86897,1.8
4.77108,45.58160,20.0
4.77091,45.58340,108.8
4.77074,45.58520,72.5
4.77057,45.58700,141.9
4.77039,45.58879,93.0
4.77022,45.59059,24.7
4.77005,45.59239,97.8
4.76988,45.59418,15.2
4.76971,45.59598,92.5
4.76954,45.59778,10.0
4.76936,45.59957,81.5
4.76868,45.60676,146.3
4.76850,45.60856,17.6
4.76833,45.61036,42.3
4.75661,45.73255,12.5
4.75644,45.73434,4.3
4.75609,45.73794,3.2
4.75592,45.73973,3.2
4.75523,45.74692,32.0
4.75506,45.74872,339.6
4.75488,45.75051,378.0
4.75471,45.75231,1.9
4.75454,45.75411,9.7
4.75384,45.76129,1.9
4.75350,45.76489,57.5
4.75298,45.77028,5.2
4.75280,45.77208,1.3
4.75263,45.77387,9.9
4.75246,45.77567,17.2
4.75229,45.77747,36.1
4.75211,45.77926,2.6
4.75194,45.78106,6.5
4.74986,45.80262,1.3
4.74934,45.80801,1.3
4.74899,45.81160,1.3
4.74864,45.81520,4.8
4.74847,45.81699,2.6
4.74795,45.82238,4.8
4.74673,45.83496,4.8
4.74639,45.83855,1.8
4.74621,45.84035,3.5
4.74604,45.84215,1.8
4.74587,45.84394,4.7
4.74569,45.84574,5.3
4.74465,45.85652,1.8
4.74413,45.86191,6.4
4.74395,45.86371,10.5
4.74378,45.86550,38.1
4.74360,45.86730,25.8
4.74343,45.86910,32.8
4.74326,45.87089,28.7
4.74291,45.87449,1.8
4.77363,45.58173,980.8
4.77346,45.58353,110.9
4.77329,45.58532,52.0
4.77312,45.58712,7.4
4.77295,45.58892,4.2
4.77278,45.59072,96.2
4.77260,45.59251,36.3
4.77243,45.59431,42.6
4.77226,45.59611,7.9
4.77192,45.59970,7.4
4.77157,45.60329,1.8
4.77140,45.60509,166.9
4.77123,45.60689,91.1
4.77106,45.60869,17.0
4.75883,45.73627,1.6
4.75865,45.73806,4.9
4.75848,45.73986,1.6
