# Fréquentation réelle des lignes, pour caler le moteur (scripts/modele/moteur.py).
# voyages_jour : fréquentation d'un jour de semaine ; une valeur annuelle est divisée par 265, comme pour le calage lyonnais d'origine.
# retenue : 1 si la ligne sert au calage, 0 sinon (la remarque dit pourquoi).
# bus : pour les bus, « site propre » (busway, Mettis, BHNS) ou « ligne forte » (Linéo, Chronostar, Lianes, Chronobus, sans site propre continu).
ville,ligne,mode,voyages_jour,valeur,unite,annee,source,retenue,remarque,bus
bordeaux,A,tram,134653,35683048,voyages comptables par an,2022,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2024-11/RAD%20Transports%202022%20v%20Cada%20Web.pdf (p. 446),0,tracé redécoupé en décembre 2025 (lignes E et F),
bordeaux,C,tram,91023,24121221,voyages comptables par an,2022,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2024-11/RAD%20Transports%202022%20v%20Cada%20Web.pdf (p. 446),0,tracé redécoupé en décembre 2025 (ligne E),
bordeaux,G,bhns,30000,30000,voyages par jour ouvré,2024,https://www.bordeaux-metropole.fr/sites/MET-BXMETRO-DRUPAL/files/2025-01/Barom%C3%A8tre_mobilit%C3%A9s_2024.pdf (p. 5),1,"« de l'ordre de », fraude et non-validation comprises",site propre
rennes,a,metro,147236,39017635,voyages par an,2025,https://www.datocms-assets.com/97186/1787821511-keolis_rapport-activite_2025_vf_bd.pdf (p. 8),1,,
rennes,b,metro,95704,25361645,voyages par an,2025,https://www.datocms-assets.com/97186/1787821511-keolis_rapport-activite_2025_vf_bd.pdf (p. 8),1,,
rennes,C1,bhns,16959,4494254,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C2,bhns,10977,2908914,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C3,bhns,10991,2912562,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C4,bhns,20017,5304382,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C5,bhns,12943,3429898,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C6,bhns,12824,3398296,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
rennes,C7,bhns,4083,1082080,voyages par an,2025,https://data.explore.star.fr/explore/dataset/tco-billettique-star-frequentation-agregee-td/,1,Chronostar,ligne forte
lille,1,metro,148459,148459,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"moyenne de septembre 2025 à mars 2026, Lille Flandres répartie selon la clé de la MEL",
lille,2,metro,186195,186195,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"moyenne de septembre 2025 à mars 2026, Lille Flandres répartie selon la clé de la MEL",
lille,R+T,tram,26325,26325,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,les deux branches du tram réunies,
lille,L1,bhns,9108,9108,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L2,bhns,4037,4037,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L3,bhns,5723,5723,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L4,bhns,8340,8340,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L5,bhns,17156,17156,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L6,bhns,4211,4211,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L7,bhns,3312,3312,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L8,bhns,6211,6211,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,1,"Liane, moyenne de septembre 2025 à mars 2026",ligne forte
lille,L90,bhns,1596,1596,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,0,Liane interurbaine,ligne forte
lille,L91,bhns,2300,2300,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,0,Liane interurbaine,ligne forte
lille,L92,bhns,2426,2426,validations par jour ouvré,2026,https://data.lillemetropole.fr/geoserver/ogc/features/v1/collections/dsp_ilevia:validation_titre/items,0,Liane interurbaine,ligne forte
