ville,ligne,mode,nom,reseau,stations,longueur_km,dist_centre_km,part_centre,ville_hab_10k,ville_emp_10k,ville_hab_20k,ville_emp_20k,emplois_centre_1k,lignes_reseau,stations_reseau,hab_300,emp_300,hab_propre_300,emp_propre_300,hab_400,emp_400,hab_propre_400,emp_propre_400,hab_500,emp_500,hab_propre_500,emp_propre_500,hab_600,emp_600,hab_propre_600,emp_propre_600,hab_800,emp_800,hab_propre_800,emp_propre_800,hab_1000,emp_1000,hab_propre_1000,emp_propre_1000,hab_2k,emp_2k,hab_5k,emp_5k,correspondances,stations_correspondance,gares,part_partagee_400
strasbourg,F,tram,Tram F : Wolfisheim Henri Rendu → Place d'Islande,Compagnie des Transports Strasbourgeois,20,8.44,0.14,0.4,486268,248227,644182,304204,59586,6,141,37829,36012,25298,14859,57510,52734,34314,19773,71584,59507,40517,21499,88240,71636,45639,24264,111540,86385,46970,24608,127398,95649,44643,24229,226933,140929,424506,206630,19,9,0,0.659
strasbourg,G,bhns,BHNS G : Rotterdam → Espace Européen de l' Entreprise,Compagnie des Transports Strasbourgeois,24,9.94,0.75,0.417,486268,248227,644182,304204,59586,6,141,30058,36545,18789,23017,44347,48085,24774,25760,55587,57176,27420,27579,72008,73709,29638,30130,103649,96256,36098,33674,131083,106654,42511,34589,244599,153267,444107,215454,9,5,1,0.658
toulouse,B,metro,Métro Ligne B: Direction Ramonville,Tisséo,20,13.48,0.39,0.35,741943,449392,1112895,553632,50042,3,63,54536,44307,50272,36366,89701,62931,81155,50203,116056,82587,102352,60918,137200,90201,119218,65281,173487,111729,144449,76341,205718,127901,161014,85621,358932,179531,610211,351210,3,3,1,0.228
toulouse,A,metro,Métro A: Balma-Gramont - Basso Cambo,Tisséo,18,11.11,0.1,0.278,741943,449392,1112895,553632,50042,3,63,45377,44835,40994,36504,70248,60552,61390,48173,97204,77889,79782,57595,115291,95830,91133,69767,148138,113193,109382,77213,187309,130522,131790,87204,330074,197869,596218,343717,2,2,1,0.284
toulouse,T1,tram,Tram T1: Arènes → MEETT,Tisséo,25,13.25,1.3,0.12,741943,449392,1112895,553632,50042,3,63,39512,14891,36670,11856,56409,36002,50659,31655,72102,44984,60848,36963,82521,50670,66686,39529,106728,65076,80088,49471,130515,82128,89614,62041,250674,161288,598237,356234,2,2,0,0.21
toulouse,téléo,cable,Téléo: Université Paul Sabatier → Oncopole - Lise Enjalbert,Tisséo,3,3.01,5.18,0.0,741943,449392,1112895,553632,50042,3,63,507,6641,486,6640,1071,8123,1050,7792,1313,9119,1179,8767,2061,11074,1855,10647,4729,14871,3488,12186,9158,16173,5366,13184,39836,41880,307205,202478,1,1,0,0.068
toulouse,L6,bhns,Bus L6: Ramonville → Castanet-Tolosan,Tisséo,17,6.97,6.04,0.0,741943,449392,1112895,553632,50042,3,63,11382,3448,11059,3298,17321,5856,16983,5703,21550,7336,20871,7081,25252,9634,24426,8861,31489,11636,29849,9755,33941,17551,31518,12980,48848,47666,202484,112030,1,1,0,0.04
toulouse,L14,bhns,Bus L14: Marengo - SNCF → Basso Cambo,Tisséo,33,11.08,0.42,0.394,741943,449392,1112895,553632,50042,3,63,55492,48160,40603,28795,77903,61591,50398,33699,99600,80154,58274,42460,117472,97779,64334,46623,153240,120101,75521,56217,184354,129823,83901,54061,315055,185560,576317,342464,15,13,2,0.681
toulouse,L4,bhns,Bus L4: Basso Cambo → Cours Dillon,Tisséo,31,9.87,0.46,0.194,741943,449392,1112895,553632,50042,3,63,44048,32284,33951,24633,59480,42536,40526,28200,70139,60584,42285,34729,80873,69798,45666,36246,111452,92926,55050,45086,141360,108085,61972,46534,276795,188989,555190,332980,11,9,3,0.586
toulouse,L9,bhns,Bus L9: L'Union Grande Halle → Saint-Orens Centre Commercial,Tisséo,44,14.72,0.42,0.205,741943,449392,1112895,553632,50042,3,63,57937,28195,53291,19818,83510,44560,71650,26595,104962,58404,84279,32746,124444,68505,95569,38235,164897,87348,112181,44571,199812,101660,121927,50019,334824,172663,602630,303600,4,3,0,0.313
